123456	Carlos	18	9	50.000000
222705	Juan	10	5	20.000000
231871	Alonso	900	1	500.000000
234567	Pedro	5	10	30.000000
765432	Luis	15	7	600.000000
987658	Jeronimo	10	8	700.000000123456
222705	Juan	10	5	20.00
231871	Alonso	900	1	500.00
234567	Pedro	5	10	30.00
765432	Luis	15	7	600.00
987658	Jeronimo	10	8	700.00
123456	Carlos	18	9	50.00
222705	Juan	10	5	20.00
231871	Alonso	900	1	500.00
234567	Pedro	5	10	30.00
765432	Luis	15	7	600.00
987658	Jeronimo	10	8	700.00
123456	Carlos	18	9	50.00
222705	Juan	10	5	20.00
231871	Alonso	900	1	500.00
234567	Pedro	5	10	30.00
765432	Luis	15	7	600.00
987658	Jeronimo	10	8	700.00
123456	Carlos	18	9	50.00
222705	Juan	10	5	20.00
230331	Martin	1	0	175.00
231871	Alonso	900	1	500.00
234567	Pedro	5	10	30.00
245678	Ana	0	1	31.00
765432	Luis	15	7	600.00
987658	Jeronimo	10	8	700.00
123456	Carlos	18	9	50.00
222705	Juan	10	5	20.00
231871	Alonso	900	1	500.00
234567	Pedro	5	10	30.00
239124	Juan	0	1	411.00
765432	Luis	15	7	600.00
987658	Jeronimo	10	8	700.00
123456	Carlos	18	9	50.00
222705	Juan	10	5	20.00
231871	Alonso	900	1	500.00
234567	Pedro	5	10	30.00
765432	Luis	15	7	600.00
987658	Jeronimo	10	8	700.00
